Name,Batting Order,Batting,Bowling,Country,IsCaptain
mohammad nabi,allrounder,right hand bat,right arm offbreak,afghanistan,0
mohammad nadeem,allrounder,right hand bat,right arm medium fast,oman,0
mohammed siraj,bowler,right hand bat,right arm fast,india,0
mujeeb ur rahman,withdrawn,right hand bat,right arm offbreak,afghanistan,0
mustafizur rahman,bowler,left hand bat,left arm fast medium,bangladesh,0
najibullah zadran,middle order,left hand bat,right arm offbreak,afghanistan,0
najmul hossain shanto,top order,left hand bat,right arm offbreak,bangladesh,0
nangeyalia kharote,allrounder,left hand bat,slow left arm orthodox,afghanistan,0
naseem khushi ,wicketkeeper,right hand bat,,oman,0
nathan ellis,bowler,right hand bat,right arm fast medium,australia,0
naveen-ul-haq,bowler,right hand bat,right arm medium fast,afghanistan,0
navneet dhaliwal,middle order,right hand bat,right arm medium fast,canada,0
neil rock ,wicketkeeper batter,left hand bat,,ireland,0
neil wagner,bowler,left hand bat,left arm fast medium,new zealand,0
nicholas kirton,batting allrounder,left hand bat,-,canada,0
nikhil dutta,bowler,right hand bat,right arm offbreak,canada,0
nikolaas davin,batter,right hand bat,legbreak,namibia,0
noor ahmad,bowler,right hand bat,left arm wrist spin,afghanistan,0
pargat singh,allrounder,right hand bat,right arm offbreak,canada,0
pat cummins,bowler,right hand bat,right arm fast,australia,0
paul stirling,batting allrounder,right hand bat,right arm offbreak,ireland,0
paul van meekeren,bowler,right hand bat,right arm fast medium,netherlands,0
peter-daniel blignaut,bowler,right hand bat,slow left arm orthodox,namibia,0
phil salt,wicketkeeper,right hand bat,right arm offbreak,england,0
pratik athavale ,wicketkeeper batter,right hand bat,right arm offbreak,oman,0
rachin ravindra,allrounder,left hand bat,left arm orthodox,new zealand,0
rafiullah,bowler,right hand bat,right arm medium,oman,0
rahmanullah gurbaz,wicketkeeper,right hand bat,-,afghanistan,0
rashid khan,bowling allrounder,right hand bat,legbreak googly,afghanistan,0
ravinderpal singh,batter,right hand bat,right arm offbreak,canada,0
ravindra jadeja,allrounder,left hand bat,slow left arm orthodox,india,0
rayyan pathan,batting allrounder,right hand bat,right arm fast medium,canada,0
reece topley,bowler,right hand bat,left arm fast medium,england,0
rishabh pant ,wicketkeeper batter,left hand bat,,india,0
rishad hossain,bowler,right hand bat,legbreak googly,bangladesh,0
rishiv joshi,bowler,right hand bat,left arm medium fast,canada,0
rohit paudel,batting allrounder,right hand bat,right arm offbreak,nepal,0
rohit sharma,top order batter,right hand bat,right arm offbreak,india,0
ross adair,top order batter,right hand bat,slow left arm orthodox,ireland,0
ruben trumpelmann,bowler,right hand bat,left arm fast,namibia,0
saad bin zafar,allrounder,left hand bat,slow left arm orthodox,canada,0
sagar dhakal,bowler,right hand bat,slow left arm orthodox,nepal,0
sam curran,allrounder,left hand bat,left arm medium fast,england,0
sandeep lamichhane,bowler,right hand bat,legbreak googly,nepal,0
sanju samson ,wicketkeeper batter,right hand bat,,india,0
saqib zulfiqar,bowling allrounder,right hand bat,legbreak,netherlands,0
scott edwards ,wicketkeeper batter,right hand bat,,netherlands,0
shakeel ahmed,bowler,left hand bat,slow left arm orthodox,oman,0
shakib al hasan,allrounder,left hand bat,slow left arm orthodox,bangladesh,0
shivam dube,allrounder,left hand bat,right arm medium,india,0
shoaib khan,batter,right hand bat,right arm medium,oman,0
shoriful islam,bowler,left hand bat,left arm medium fast,bangladesh,0
shreyas movva,wicketkeeper,right hand bat,-,canada,0
sompal kami,bowling allrounder,right hand bat,right arm fast medium,nepal,0
soumya sarkar,batting allrounder,left hand bat,right arm medium fast,bangladesh,0
sundeep jora,middle order batter,right hand bat,,nepal,0
suryakumar yadav,batter,right hand bat,"right arm medium, right arm offbreak",india,0
sybrand engelbrecht,allrounder,right hand bat,right arm offbreak,netherlands,0
tangeni lungameni,bowler,right hand bat,left arm medium,namibia,0
tanvir islam,bowler,left hand bat,slow left arm orthodox,bangladesh,0
tanzid hasan,opening,left hand bat,-,bangladesh,0
tanzim hasan sakib,bowler,right hand bat,right arm fast medium,bangladesh,0
taskin ahmed (vc),bowler,left hand bat,right arm fast,bangladesh,0
teja nidamanuru,allrounder,right hand bat,right arm offbreak,netherlands,0
tim david,middle order,right hand bat,right arm offbreak,australia,0
tim pringle,allrounder,right hand bat,slow left arm orthodox,netherlands,0
tim southee,bowler,right hand bat,right arm fast medium,new zealand,0
todd astle,bowling allrounder,right hand bat,right arm legbreak,new zealand,0
tom hartley,bowler,left hand bat,slow left arm orthodox,england,0
towhid hridoy,top order,right hand bat,right arm offbreak,bangladesh,0
travis head,top order,left hand bat,right arm offbreak,australia,0
vikramjit singh,opening batter,left hand bat,right arm medium,netherlands,0
virat kohli,top order batter,right hand bat,right arm medium,india,0
vivian kingma,bowler,right hand bat,right arm medium fast,netherlands,0
wesley barresi,batter,right hand bat,right arm offbreak,netherlands,0
will jacks,batting allrounder,right hand bat,right arm offbreak,england,0
yashasvi jaiswal,opening batter,left hand bat,legbreak,india,0
yuzvendra chahal,bowler,right hand bat,legbreak googly,india,0
zane green ,wicketkeeper batter,left hand bat,,namibia,0
zeeshan maqsood,opening batter,left hand bat,slow left arm orthodox,oman,0
